,memberID,b_g,total_hits
610,3517,786 1,0.344595716
611,3517,796 1,0.287163096
612,3517,82 1,0.114865239
613,3539,1214 0,18.38996286
614,3539,1214 1,65.4595939
615,3539,350 1,0.064866482
616,3539,383 0,0.318906557
617,3539,383 1,3.697572535
618,3539,388 1,0.318906557
619,3539,396 1,0.180092312
620,3539,866 1,2.555108327
621,3539,867 1,1.220416708
622,3543,1214 0,1.275626229
623,3543,1214 1,160.085885
624,3543,1266 1,4.251693338
625,3543,1321 1,0.032433241
626,3543,133 1,0.032433241
627,3543,1474 1,0.032433241
628,3543,15 0,0.318906557
629,3543,15 1,0.318906557
630,3543,172 1,0.166567874
631,3543,290 1,0.032433241
632,3543,350 1,0.406805569
633,3543,388 1,18.06985565
634,3543,394 1,0.032433241
635,3543,396 1,5.294803105
636,3543,564 1,1
637,3543,700 1,0.032433241
638,3543,727 1,0.305104177
639,3543,865 1,0.032433241
640,3543,866 1,0.032433241
641,3543,914 1,0.032433241
642,3543,935 1,0.032433241
643,3543,946 1,0.032433241
644,3577,115 1,0.637813115
645,3577,1214 1,2.232345901
646,3577,1224 1,0.318906557
647,3577,866 1,6.697037704
648,3647,1068 0,0.574326193
649,3647,1390 0,3.189065573
650,3647,18 0,0.574326193
651,3647,491 0,4.337717959
652,3747,115 1,0.032433241
653,3747,1163 1,0.032433241
654,3747,1316 1,0.212525553
655,3747,1318 1,0.180092312
656,3747,1324 1,0.032433241
657,3747,133 1,0.064866482
658,3747,1374 1,0.032433241
659,3747,15 1,0.032433241
660,3747,1546 1,0.032433241
661,3747,172 1,0.032433241
662,3747,238 1,0.244958794
663,3747,261 1,0.129732964
664,3747,349 0,0.162166204
665,3747,349 1,0.203402785
666,3747,383 1,0.360184624
667,3747,386 1,0.032433241
668,3747,388 1,2.370214324
669,3747,396 1,0.324332409
670,3747,425 1,0.032433241
671,3747,454 1,1.530604357
672,3747,491 1,0.194599445
673,3747,52 1,0.064866482
674,3747,618 1,0.162166204
675,3747,626 1,0.064866482
676,3747,667 1,0.032433241
677,3747,692 0,0.523333524
678,3747,692 1,0.212525553
679,3747,700 1,0.032433241
680,3747,716 1,0.064866482
681,3747,811 1,0.032433241
682,3747,817 1,0.097299723
683,3747,836 1,0.162166204
684,3747,864 1,0.064866482
685,3747,865 1,0.421632132
686,3747,866 1,0.032433241
687,3747,890 1,0.032433241
688,3747,933 1,0.032433241
689,3747,936 1,0.032433241
690,3767,285 1,0.564718122
691,3804,1011 0,0.172297858
692,3804,1084 2,0.032433241
693,3804,133 0,0.194599445
694,3804,1390 0,0.032433241
695,3804,1624 0,0.064866482
696,3804,172 0,0.032433241
697,3804,2261 2,0.032433241
698,3804,283 0,0.032433241
699,3804,388 2,0.318906557
700,3804,460 0,0.032433241
701,3804,485 0,0.114865239
702,3804,618 0,0.057432619
703,3804,627 0,0.032433241
704,3804,692 0,0.032433241
705,3804,786 0,0.287163096
706,3804,806 0,0.032433241
707,3804,858 0,0.032433241
708,3804,970 0,0.032433241
709,3823,1011 0,0.564718122
710,3823,1197 0,1
711,3823,1214 0,0.318906557
712,3823,1292 2,0.564718122
713,3823,1294 0,0.180092312
714,3823,133 0,0.032433241
715,3823,1332 0,0.032433241
716,3823,1377 0,0.540276936
717,3823,1482 0,0.318906557
718,3823,15 0,0.180092312
719,3823,15 1,7.906053708
720,3823,1502 0,0.318906557
721,3823,1603 0,0.180092312
722,3823,1666 0,0.057432619
723,3823,191 0,0.180092312
724,3823,256 0,1.922047715
725,3823,266 0,0.032433241
726,3823,349 0,0.486498613
727,3823,352 0,0.318906557
728,3823,366 0,4.883219939
729,3823,385 0,0.032433241
730,3823,425 0,1
731,3823,460 0,0.227032686
732,3823,492 0,0.203402785
733,3823,59 0,0.180092312
734,3823,667 0,0.956719672
735,3823,806 0,3.122299101
736,3823,836 0,0.637813115
737,3823,876 0,0.637813115
738,3823,883 0,0.114865239
739,3823,969 0,0.281793704
740,3823,983 0,2.029897805
741,3823,988 0,3
742,3938,1136 1,3
743,3938,1137 1,4.392617865
744,3938,137 1,5.097299723
745,4089,716 0,0.180092312
746,4152,1274 1,2.176021776
747,4152,1321 1,0.318906557
748,4152,152 1,0.564718122
749,4152,1548 1,0.597151363
750,4152,172 1,0.318906557
751,4152,258 1,0.318906557
752,4152,267 1,0.064866482
753,4152,924 1,0.057432619
754,4217,1214 0,2.637813115
755,4217,1214 1,70.37561132
756,4217,1225 1,0.637813115
757,4217,137 1,0.637813115
758,4217,1390 1,0.637813115
759,4217,15 1,3.388308732
760,4217,1624 1,1.694154366
761,4217,388 1,0.637813115
762,4217,667 1,0.318906557
763,4217,668 1,5.64718122
764,4217,796 1,0.318906557
765,4217,866 1,0.318906557
766,4312,1214 1,0.883624679
767,4312,133 1,1.409760862
768,4312,409 0,0.630142797
769,4312,409 1,0.147298479
770,4312,421 1,1.129436244
771,4312,626 0,5.402769364
772,4312,626 1,3.601846243
773,4312,770 1,0.180092312
774,4354,1214 0,81.33616331
775,4354,1214 1,498.1044867
776,4354,294 1,0.162166204
777,4354,349 1,40
778,4354,454 1,0.064866482
779,4354,836 1,0.032433241
780,4354,859 1,0.129732964
781,4354,936 1,0.032433241
782,4411,1036 0,0.35676565
783,4411,1057 0,1.537851276
784,4411,1071 0,0.129732964
785,4411,1147 0,0.162166204
786,4411,1149 0,0.900461561
787,4411,1202 0,0.129732964
788,4411,1214 0,0.318906557
789,4411,1224 0,0.629584604
790,4411,1284 0,0.287163096
791,4411,1285 0,1.206085005
792,4411,130 0,0.057432619
793,4411,1301 0,0.516893573
794,4411,1306 0,0.227032686
795,4411,133 0,1.594532787
796,4411,1336 0,0.057432619
797,4411,1342 0,0.032433241
798,4411,1384 0,0.736492397
799,4411,1386 0,0.459460954
800,4411,1388 0,0.574326193
801,4411,1389 0,0.421632132
802,4411,1406 0,0.229730477
803,4411,1439 0,0.032433241
804,4411,1450 0,0.324332409
805,4411,1472 0,0.454065373
806,4411,1496 0,0.900461561
807,4411,15 0,2.034027846
808,4411,1503 0,0.032433241
809,4411,1563 0,0.032433241
810,4411,1564 0,0.172297858
811,4411,158 0,1.55068072
812,4411,1587 0,0.194599445
813,4411,1597 0,4.501854039
814,4411,1610 0,1.594532787
815,4411,19 0,0.318906557
816,4411,191 0,0.180092312
817,4411,192 0,0.287163096
818,4411,266 0,0.360184624
819,4411,385 0,0.597709556
820,4411,425 0,0.294957551
821,4411,541 0,0.180092312
822,4411,555 0,1.287857492
823,4411,626 0,6.012656183
824,4411,662 0,0.064866482
825,4411,665 0,0.097299723
826,4411,667 0,3.241661619
827,4411,692 0,4.945764564
828,4411,7 0,7.015944261
829,4411,723 0,0.032433241
830,4411,733 0,0.097299723
831,4411,772 0,0.900461561
832,4411,811 0,3.601846243
833,4411,819 0,0.114865239
834,4411,837 0,0.508506962
835,4411,844 0,4.121568034
836,4411,846 0,0.318906557
837,4411,923 0,0.057432619
838,4411,961 0,0.194599445
839,4411,992 0,0.227032686
840,4428,1224 1,0.032433241
841,4428,411 1,0.450050484
842,4450,1146 1,2
843,4450,133 1,0.817905427
844,4450,1456 1,0.318906557
845,4450,147 1,0.180092312
846,4450,1713 1,0.180092312
847,4450,2541 1,0.318906557
848,4450,259 1,0.318906557
849,4450,267 1,0.563865351
850,4450,383 1,0.180092312
851,4450,429 1,1.637813115
852,4450,460 1,3.207085707
853,4450,552 1,0.360184624
854,4450,667 1,0.318906557
855,4450,716 1,0.180092312
856,4450,811 1,0.180092312
857,4450,836 1,0.180092312
858,4552,1017 0,0.101701392
859,4552,411 0,0.101701392
860,4552,786 0,4.983368223
861,4645,1068 0,0.900461561
862,4645,1171 0,0.180092312
863,4645,1288 0,0.900461561
864,4645,1542 0,0.180092312
865,4645,158 0,0.180092312
866,4645,1589 0,1.080553873
867,4645,19 0,0.180092312
868,4645,258 0,0.180092312
869,4645,285 0,0.180092312
870,4645,345 0,0.360184624
871,4645,385 0,0.180092312
872,4645,386 0,0.180092312
873,4645,464 0,0.180092312
874,4645,480 0,0.180092312
875,4645,491 0,1.440738497
876,4645,541 0,0.180092312
877,4645,566 0,0.900461561
878,4645,667 0,0.180092312
879,4645,716 0,0.180092312
880,4645,718 0,0.900461561
881,4645,806 0,3.421753931
882,4645,956 0,0.180092312
883,4658,115 1,0.101701392
884,4658,1224 1,0.101701392
885,4658,1478 0,0.203402785
886,4658,1496 0,0.057432619
887,4658,172 0,0.318906557
888,4658,194 0,0.101701392
889,4658,2261 2,3.826878688
890,4658,238 1,1.20791791
891,4658,256 0,0.057432619
892,4658,256 1,0.114865239
893,4658,259 0,0.101701392
894,4658,266 0,0.956719672
895,4658,285 1,0.101701392
896,4658,349 1,0.180092312
897,4658,350 1,0.360184624
898,4658,353 1,0.101701392
899,4658,356 1,0.637813115
900,4658,366 1,0.159134012
901,4658,383 1,0.203402785
902,4658,385 0,0.203402785
903,4658,385 1,10.94673745
904,4658,425 1,0.057432619
905,4658,566 0,0.42060795
906,4658,566 1,0.203402785
907,4658,667 0,0.032433241
908,4658,697 0,0.114865239
909,4658,699 0,2.551252459
910,4658,699 1,4.78359836
911,4658,700 0,0.548637034
912,4658,700 1,0.101701392
913,4658,716 1,0.101701392
914,4658,836 0,0.057432619
915,4658,836 1,0.159134012
916,4662,133 1,0.637813115
917,4662,1560 1,0.318906557
918,4662,2 1,17.6879168
919,4662,25 1,1.275626229
920,4662,258 1,0.318906557
921,4662,285 1,1.594532787
922,4662,460 1,0.101701392
923,4662,464 1,2.551252459
924,4662,584 1,0.318906557
925,4668,1197 0,0.101701392
926,4668,1214 0,1.913439344
927,4668,1214 1,9.56719672
928,4668,172 0,0.097299723
929,4668,385 0,0.517269138
930,4668,460 0,0.900461561
931,4668,460 1,0.360184624
932,4686,259 0,0.064866482
933,4686,290 0,0.032433241
934,4686,333 0,0.032433241
935,4686,388 0,0.064866482
936,4686,618 0,0.180092312
937,4695,285 0,0.032433241
938,4715,411 1,0.064866482
939,4715,626 1,0.032433241
940,4740,365 0,0.162166204
941,4843,1214 0,1.275626229
942,4843,1214 1,29.52256534
943,4843,1448 1,0.287163096
944,4843,1568 1,0.057432619
945,4843,18 1,0.057432619
946,4843,294 1,0.287163096
947,4843,350 1,0.918921908
